,Area Name,Lat,Lon,place_id,addr_1,addr-2,Confidence,Municipality,Suburb_geoapify,bbox_lat1,bbox_lat2,bbox_lon1,bbox_lon2
231,Seddon,-37.8067725,144.8915967,511777cdf5871c624059f5673f5244e742c0f00101f90151a0240000000000c00205,Seddon,Seddon,1.0,City of Maribyrnong,Seddon,-37.810753,-37.802172,144.884162,144.90023
232,Kingsville,-37.8088622,144.8794356,51059e2056241c6240593dfcebcb88e742c0f00101f901a4a8240000000000c00205,Kingsville,Kingsville,1.0,City of Maribyrnong,Kingsville,-37.812824,-37.802589,144.86924,144.885428
233,Somerville,-38.2254039,145.1736692,5152cab5b28e256240590872f508da1c43c0f00101f9016f39250000000000c00205,Somerville,Somerville,1.0,Shire of Mornington Peninsula,Somerville,-38.256677,-38.203359,145.148333,145.261807
234,South Melbourne,-37.8334603,144.9570188,5107f5e3e59f1e624059d681bdd3aeea42c0f00101f9017a90240000000000c00205,South Melbourne,South Melbourne,1.0,City of Port Phillip,South Melbourne,-37.842169,-37.825947,144.940342,144.971768
235,South Morang,-37.6316767,145.0836353,5151c9ef23ad22624059961238c8dad042c0f00101f9012887240000000000c00205,South Morang,South Morang,1.0,City of Whittlesea,South Morang,-37.66481,-37.610469,145.044096,145.123397
236,South Yarra,-37.8377695,144.9918537,51557df843bd1f6240590b0bee073ceb42c0f00101f9013e62240000000000c00205,South Yarra,South Yarra,1.0,City of Stonnington,South Yarra,-37.848102,-37.827669,144.975809,145.006435
237,Southbank,-37.8253618,144.9640203,51c3a51941d91e624059112f9974a5e942c0f00101f901ca8e240000000000c00205,Southbank,Southbank,1.0,City of Melbourne,Southbank,-37.831482,-37.819245,144.946909,144.971423
238,Springvale,-37.9456253,145.1580111,51f65c4b6d0e2562405996e2f43f0af942c0f00101f901bcac240000000000c00205,Springvale,Springvale,1.0,City of Greater Dandenong,Springvale,-37.963679,-37.924606,145.136589,145.187231
239,Springvale South,-37.9708611,145.1478692,51be423058bb24624059b3ba302d45fc42c0f00101f901dcac240000000000c00205,Springvale South,Springvale South,1.0,City of Greater Dandenong,Springvale South,-37.983643,-37.959984,145.129658,145.16199
240,St Albans,-37.7450983,144.804976,511442075dc21962405911678f615fdf42c0f00101f901e9f2240000000000c00205,St Albans,St Albans,1.0,City of Brimbank,St Albans,-37.76837,-37.727568,144.778718,144.832691
241,St Kilda,-37.8638261,144.981637,516571ff91691f624059327788da91ee42c0f00101f9012295240000000000c00205,St Kilda,St Kilda,1.0,City of Port Phillip,St Kilda,-37.876291,-37.852189,144.970653,144.993262
242,St Kilda East,-37.8668218,145.0021657,518955cdbd1120624059dc3a4904f4ee42c0f00101f9016f90240000000000c00205,St Kilda East,St Kilda East,1.0,City of Glen Eira,St Kilda East,-37.878051,-37.857906,144.991215,145.010521
243,Strathmore,-37.7333202,144.9182433,51ade8c53f621d624059833fb26fdddd42c0f00101f9016f97240000000000c00205,Strathmore,Strathmore,1.0,City of Moonee Valley,Strathmore,-37.74409,-37.715792,144.901732,144.934665
244,Sunbury,-37.5796938,144.7295281,516b60504b5817624059d4580c6833ca42c0f00101f901cf0f250000000000c00207,Melbourne VIC 3429,Melbourne VIC 3429,1.0,City of Hume,,,,,
245,Sunshine,-37.7893319,144.8342699,513111ca56b21a6240594318e4d308e542c0f00101f9013cb7240000000000c00205,Sunshine,Sunshine,1.0,City of Brimbank,Sunshine,-37.802922,-37.776505,144.815166,144.847246
246,Sunshine North,-37.7639467,144.8361969,5188500020c21a6240598d316601c9e142c0f00101f90138b7240000000000c00205,Sunshine North,Sunshine North,1.0,City of Brimbank,Sunshine North,-37.779068,-37.746152,144.816111,144.854267
247,Sunshine West,-37.7983442,144.8110919,519e110077f419624059c4f98a2430e642c0f00101f9013eb7240000000000c00205,Sunshine West,Sunshine West,1.0,City of Brimbank,Sunshine West,-37.81689,-37.781613,144.787365,144.834782
248,Surrey Hills,-37.8271881,145.0978326,51722fd5712123624059f891b64ce1e942c0f00101f901b36b240000000000c00205,Surrey Hills,Surrey Hills,1.0,City of Boroondara,Surrey Hills,-37.837664,-37.81289,145.085673,145.113487
249,Sydenham,-37.6997223,144.7653295,5140a54a947d186240591564158090d942c0f00101f90104fc240000000000c00205,Sydenham,Sydenham,1.0,City of Brimbank,Sydenham,-37.711298,-37.680953,144.755442,144.782059
250,Tarneit,-37.8354458,144.6646643,5133ea10ee4415624059504a52e3efea42c0f00101f9017b02250000000000c00205,Tarneit,Tarneit,1.0,City of Wyndham,Tarneit,-37.871684,-37.800946,144.614677,144.713969
251,Taylors Hill,-37.7152241,144.7533127,512b453c231b18624059d0679b768cdb42c0f00101f9017afc240000000000c00205,Taylors Hill,Taylors Hill,1.0,City of Melton,Taylors Hill,-37.725339,-37.704435,144.738499,144.768149
252,Taylors Lakes,-37.698633,144.7863077,51fa02c46e291962405904745fce6cd942c0f00101f9019bf3240000000000c00205,Taylors Lakes,Taylors Lakes,1.0,City of Brimbank,Taylors Lakes,-37.7143331,-37.6790152,144.765039,144.812287
253,Templestowe,-37.7540588,145.1486152,5108f6a974c12462405969a1aeff84e042c0f00101f901726b240000000000c00205,Templestowe,Templestowe,1.0,City of Manningham,Templestowe,-37.77858,-37.733954,145.117526,145.177714
254,Templestowe Lower,-37.7638749,145.1122762,51d0e341c497236240591dde18a7c6e142c0f00101f9014e59240000000000c00205,Templestowe Lower,Templestowe Lower,1.0,City of Manningham,Templestowe Lower,-37.779596,-37.748993,145.092825,145.131461
255,The Basin,-37.8556937,145.3214075,510da661f8482a6240595672045f87ed42c0f00101f90196f3240000000000c00205,The Basin,The Basin,1.0,City of Knox,The Basin,-37.867066,-37.844862,145.29887,145.338479
256,Thomastown,-37.6832672,145.0081104,513dd8bd704220624059fa36b34c75d742c0f00101f901ae6b240000000000c00205,Thomastown,Thomastown,1.0,City of Whittlesea,Thomastown,-37.697344,-37.669103,144.970623,145.05236
257,Thornbury,-37.7582744,145.0051501,5147e28a302a206240596fb2b2220fe142c0f00101f901a759240000000000c00205,Thornbury,Thornbury,1.0,City of Darebin,Thornbury,-37.766631,-37.75027,144.979204,145.03224
258,Toorak,-37.8416141,145.0176215,519bc6f65a90206240591eadc502baeb42c0f00101f9014762240000000000c00205,Toorak,Toorak,1.0,City of Stonnington,Toorak,-37.851611,-37.83051,145.003186,145.032686
