,Area Type,Area Name,Total_2016,Total_2036,Population Difference,Population Growth
259,2GMEL,Tullamarine,6698,8118.0,1420.0,21.2003583159152
260,2GMEL,Craigieburn - Central,8749,9155.0,406.0,4.640530346325295
261,2GMEL,Craigieburn - North,12124,14284.0,2160.0,17.815902342461236
262,2GMEL,Craigieburn - South,16999,28747.0,11748.0,69.10994764397905
263,2GMEL,Craigieburn - West,14882,31305.0,16423.0,110.35479102271199
264,2GMEL,Mickleham - Yuroke,3580,58334.0,54754.0,1529.441340782123
265,2GMEL,Bayswater,12584,16999.0,4415.0,35.08423394787032
266,2GMEL,Knoxfield - Scoresby,15752,23138.0,7386.0,46.88928390045709
267,2GMEL,Lysterfield,6917,7715.0,798.0,11.536793407546623
268,2GMEL,Rowville - Central,15864,17182.0,1318.0,8.308119011598588
269,2GMEL,Rowville - North,8352,9097.0,745.0,8.920019157088124
270,2GMEL,Rowville - South,11000,11258.0,258.0,2.3454545454545452
271,2GMEL,Wantirna,14425,16808.0,2383.0,16.519930675909876
272,2GMEL,Wantirna South,18580,22618.0,4038.0,21.733046286329387
273,2GMEL,Boronia,22918,28906.0,5988.0,26.12793437472729
274,2GMEL,Ferntree Gully (North),14337,16794.0,2457.0,17.13747645951036
275,2GMEL,Ferntree Gully (South) - Upper Ferntree Gully,15230,16221.0,991.0,6.506894287590283
276,2GMEL,The Basin,4441,4846.0,405.0,9.119567664940329
277,2GMEL,Donvale - Park Orchards,16715,17897.0,1182.0,7.071492671253365
278,2GMEL,Warrandyte - Wonga Park,10613,11158.0,545.0,5.135211533025535
279,2GMEL,Bayswater North,12257,14298.0,2041.0,16.651709227380273
280,2GMEL,Croydon Hills - Warranwood,18752,20361.0,1609.0,8.580418088737202
281,2GMEL,Ringwood,17931,27199.0,9268.0,51.68702247504322
282,2GMEL,Ringwood East,21031,25467.0,4436.0,21.092672721221053
283,2GMEL,Ringwood North,9991,11013.0,1022.0,10.229206285657092
284,2GMEL,Croydon - East,15724,21190.0,5466.0,34.76214703637751
285,2GMEL,Croydon - West,13805,18379.0,4574.0,33.13292285403839
286,2GMEL,Croydon South,4856,5361.0,505.0,10.399505766062603
287,2GMEL,Forest Hill,11074,13473.0,2399.0,21.663355607729816
288,2GMEL,Mitcham (Vic.),16859,20238.0,3379.0,20.042707159380747
289,2GMEL,Nunawading,12363,16248.0,3885.0,31.424411550594517
290,2GMEL,Vermont,10896,12569.0,1673.0,15.354258443465493
291,2GMEL,Vermont South,12251,13797.0,1546.0,12.619378009958371
292,2GMEL,Belgrave - Selby,10453,10529.0,76.0,0.7270640007653305
293,2GMEL,Chirnside Park,10266,15022.0,4756.0,46.32768361581921
294,2GMEL,Healesville - Yarra Glen,14106,16814.0,2708.0,19.19750460796824
295,2GMEL,Kilsyth,9470,11595.0,2125.0,22.439281942977825
296,2GMEL,Lilydale - Coldstream,19448,29679.0,10231.0,52.606951871657756
297,2GMEL,Monbulk - Silvan,5827,6171.0,344.0,5.903552428350781
298,2GMEL,Montrose,7078,7546.0,468.0,6.612037298671941
299,2GMEL,Mooroolbark,23027,27844.0,4817.0,20.918921266339517
300,2GMEL,Mount Dandenong - Olinda,10109,10334.0,225.0,2.2257394401028785
301,2GMEL,Mount Evelyn,10081,10730.0,649.0,6.437853387560757
302,2GMEL,Upwey - Tecoma,10040,10170.0,130.0,1.294820717131474
303,2GMEL,Wandin - Seville,7884,8846.0,962.0,12.201927955352613
